Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning Bluebeam Revu: Version 2018 to Version 20,"Explore the essentials of Bluebeam Revu, the PDF collaboration program designed specifically for the architecture, engineering, and construction (AEC) industry. For the designer and detailer, Bluebeam Revu includes plugins for most computer-aided design (CAD) and building information modeling (BIM) software that enables quick and easy conversion of both 2D and 3D drawings into a PDF file that can be easily viewed by the entire project team. For the construction professional, it includes sketch, markup, measurement, and takeoff tools as well as powerful search features specifically designed to work with construction documents.",Course,2021-07-15 14:31 UTC,N/A,false,N/A,
Personal Effectiveness Tips,"Before you affect change in your role or organization, you need to develop and manage yourself. In this series, personal branding and career expert Dorie Clark shares research-based best practices to help you establish your credibility, identify your leadership blind spots, deal with change, find mentors and sponsors to guide you, and more.",Course,2018-04-23 15:37 UTC,N/A,false,N/A,
Modeling a Cabinet with SOLIDWORKS,"Improve your top-down or in-context assembly design skills using a ""skeleton modeling"" strategy and SOLIDWORKS. In this course, Leon van den Heever shows how to create a model of a cabinet that automatically resizes its components based on the outer skeletal structure. This start-to-finish project will help you practice your assembly design skills and master the impressive modeling tools in SOLIDWORKS.",Course,2016-10-12 16:30 UTC,N/A,false,N/A,
Ethical Hacking: The Complete Malware Analysis Process,"<p>The key to effectively protecting your systems is understanding the attacks you have to defend them against. Join instructor Malcolm Shore for a hands-on introduction to the many different types of malware that can be used to exploit a target computer.</p> 
<p><b>Explore ethical hacking strategies to:</b></p>
<ul>
<li>Protect your data from different types of malware including viruses, worms, Trojans, and backdoors.</li> 
<li>Identify places where malware hides and detect it to protect your networks and systems against cyberattacks.</li>
<li>Reverse-engineer malware to understand how it operates.</li> 
<li>Identify malware construction kits called “botnets,” which are used to automate malware.</li> 
<li>Understand the use of cryptography in ransomware.</li>
<li>Analyze Win32.Sodin, Log4Shell, Black Energy, and Grey Energy droppers and packers.</li> 
<li>Utilize open-source malware analysis tools such as MITRE ATT$CK and Ghidra.</li>
</ul>",Course,2024-11-18 09:58 UTC,N/A,false,N/A,
Time Management Tips,"Improve your productivity, get things done, and find more time for what's most important with <i>Time Management Tips</i>. This series provides actionable time management advice in just a few short minutes.<br><br>Productivity expert Dave Crenshaw provides techniques on a wide variety of topics, designed to help people better manage their time and ultimately become more productive. Tune in to learn about everything from managing emails and calendars to setting priorities, collaborating with coworkers, reducing interruptions, crafting a ""productivity mindset,"" and creating a more comfortable and effective work environment.<br><br> 

Have an idea for a future video from Dave? Submit it using our course feedback form. If you want more time management strategies now, we recommend watching Dave's <i>Time Management Fundamentals</i> course.<br><br>",Course,2018-04-23 21:40 UTC,N/A,false,N/A,
How to Become a Thought Leader and Advance Your Career,"Building thought leadership can provide a crucial advantage for active job seekers and those looking to advance their careers. What does it mean to be a thought leader, though? In this course, career strategist Jenny Foss explains what thought leadership is, why it matters, and how you can use it to become a go-to voice in your industry or area of expertise. Jenny walks you through how to establish your personal branding, identify your own style, and create and share your own written, audio, and video content. If creating content doesn’t appeal to you, Jenny shows you how becoming a content curator can also help you build thought leadership. She discusses how to seek out speaking opportunities, then concludes with several useful best practices.",Course,2021-09-15 22:41 UTC,N/A,false,N/A,
Vocal Production for Voice-Overs and Podcasts,"Whether you’re making a podcast, audiobook, voice-over tracks, or any other type of vocal content, it’s easier than ever to record your own vocal productions. In this course, Evan Sutton shows you how to optimize your recording space and setup to make sure your recording process goes smoothly and produces content that sounds great. He starts with the basics, like choosing the best microphone for your content and prepping your space. He then gets into setting up your DAW and staging tips like microphone placement and preamp settings. Evan also shows you how to edit your vocal tracks after recording, and includes tips for seamlessly editing takes together, and using plugins to remove background noise. Lastly, he gets into mixing, exporting, and the final processing of your vocal tracks.",Course,2025-01-27 21:09 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2020-11-20 05:03 UTC,N/A,false,N/A,
WordPress 4 Essential Training,"WordPress powers millions of blogs and websites. Learn how to create your own with this powerful publishing platform. Staff author Morten Rand-Hendriksen will help you get the most out of the self-hosted version of WordPress and create feature-rich blogs and websites. Morten explains how to create and publish posts and pages; customize your site with themes, widgets, and custom menus; and extend WordPress even further with plugins. Plus, learn how to get more readers with social media sharing and comments, and how to adjust the settings that keep your site safe and secure.<br><br>Note: This course covers an older version of WordPress, which features the Classic Editor. Watch this course only if you are using the Classic Editor plugin or using WordPress 4.9 or earlier. Otherwise, watch <i>WordPress 5 Essential Training</i>, which covers the new Block Editor experience.",Course,2016-06-05 12:53 UTC,N/A,false,N/A,
Excel Modeling Tips and Tricks (2021),"Excel is the most widely used data analysis software on the market, but many people in business are not using it to its full potential. Excel can be a great tool for building financial and operational models, allowing users to understand what may happen in the future and how the business can position itself. In this course, learn how to build effective and useful financial models in Excel to forecast sales and costs, profits, operational KPIs, business assets and liabilities, and much more. Instructor Michael McDonald covers rules and best practices for financial modeling and then shows how to set up single-sheet and multi-sheet financial models and add inputs and assumptions, external data, projections, and more. Plus, learn how to determine the accuracy and strength of your models and keep them up to date as the data evolves. By the end of this course, you will have the tools and tricks you need to become a master of Excel modeling for businesses ranging from restaurants and manufacturing firms to banks and software companies.",Course,2021-06-26 13:05 UTC,N/A,false,N/A,
Staying Positive in the Face of Negativity,"Even the most optimistic of us can get weighed down when seemingly unrelenting negativity swirls around us at work and in life. It impacts our perspective, presence, and performance. Self-leadership expert Scott Mautz teaches a specific plan for fostering sustainable positivity, especially in the face of tiresome negativity. You’ll be able to stay positive over the long haul by applying fundamentals of positivity—like staying grounded and practicing a special type of gratitude—and by drawing optimism from increased mental strength. Learn to build specialized positivity skills—such as handling criticism and difficult people—and build daily habits of positivity too. Plus, hear real-world examples and craft a personal MAP (micro action plan) for being realistic but staying upbeat when it feels like the world is conspiring to keep you down.",Course,2021-09-01 11:33 UTC,N/A,false,N/A,
"Business Etiquette: Phone, Email, and Text (2015)","Phone, email, or text? Learn what communication method to use when. Suzanna Kaye starts with email, explaining everything from setting up signatures to striking the right tone. She also explains how to best use autoresponders, acknowledge receipt of an email, and follow up on unanswered email. The lessons help viewers evaluate their own email communications, ensuring that the recipients won't misinterpret them in any way.<br><br>

Next up is text etiquette, including what and what not to say in a text message. Suzanna then looks at common business communications like letters, requests for payment, and thank-yous, and how to make action items communicate the right level of urgency.<br><br>

Finally, the course covers phone etiquette, including proper greetings, voicemails, out-of-office messages, and essential phone behavior.",Course,2018-10-06 14:29 UTC,N/A,false,N/A,
Animating in Historical Styles,"Do you create 2D animation or study classic animation styles? In this course, instructor Dermot O’Connor gives professional insights on several historical styles. First, Dermot talks about the differences between a surface style of a period and reproducing the essence of it. Then he goes over the technical factors, animation methods, techniques, and post-production effects for 1920s rubber hose animation. Next, Dermot does the same for 1940’s Looney Toons style animation, 1960s TV animation, and 1980s Saturday morning cartoon animation. He concludes with a thorough comparison of Bluth and Disney animations in the 1970s and 1980s and how you can approach each style.",Course,2021-12-26 14:57 UTC,N/A,false,N/A,
Python: Working with Predictive Analytics (2019),"Data can tell many stories: where it came from <i>and</i> where it’s going. Predictive analytics gives programmers a tool to tell stories about the future: to extract usable information and make accurate predictions. These predictions, in turn, allow business to make more informed, impactful decisions. Join Isil Berkun, data scientist, to explore predictive analytics with Python. Discover how to prepare data—fill in missing values, perform feature scaling, and more—and use prebuilt Python libraries to make and evaluate prediction models. She describes what models to use when, and explains the concepts in such a way that you can immediately apply them to your own work. By the end of the course, you’ll be able to leverage Python libraries like pandas and NumPy and choose the right prediction models for your projects.",Course,2021-12-18 18:55 UTC,N/A,false,N/A,
How to Crush Self-Doubt and Build Self-Confidence,"There is no magic pill that builds confidence overnight. Instead, confidence comes from repeating something until you’re familiar with it. To build a genuine belief in your ability to accomplish the task at hand, you first must learn to persist. In this course, Ivan Joseph discusses critical practices that can help you build unshakeable self-confidence. Learn techniques for keeping negative thoughts at bay. Discover how to fight impostor syndrome by creating a list of your achievements; that way, when doubt kicks in, you’ll have something to remind you of what you’re capable of accomplishing. Ivan also goes over the ways in which the people who surround us play a key role in shaping our beliefs, how to create effective affirmations, how to help others feel more confident by focusing on positive feedback, and more.<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2021-03-05 09:49 UTC,N/A,false,N/A,
"How to Work Smarter, Not Harder: Save Time and Money and Increase Productivity","More and more people are working from home, managing remote teams, and juggling multiple projects. The time is now to learn how to work smarter, not harder. Luckily, today’s technology makes it easier than ever to increase productivity and efficiency. This course is for anyone trying to grow their business or move ahead in their career without becoming overwhelmed. Chelsea Krost provides tangible tips, tools, and techniques to increase overall productivity and give you back precious time in the day. Learn how to embrace the mindset of successful entrepreneurs and small business owners, manage your time effectively, tackle your to-do list, leverage automation and delegation, and power up your social media, content marketing, and branding strategies to direct more attention and traffic to your business. Each tool and workflow has been tested by Chelsea and her clients—and the skills taught apply to any industry. Start watching and working smarter today.",Course,2021-08-29 11:55 UTC,N/A,false,N/A,
SOLIDWORKS: Animations,"By bringing your designs to life with animation, you can communicate precisely how your product should move—and show off how your product works in general. SOLIDWORKS offers tools and functions that can help engineering, design, and product teams generate animations of existing designs. In this course, learn what you need to know to create animations with this powerful 3D CAD software. Instructor Justin Flett steps through how to generate simple animations with the Animation Wizard, as well as how to create more complex animations using manual techniques and motion drivers. Plus, learn about basic physics-based motion and walkthrough animations.",Course,2019-12-24 23:20 UTC,N/A,false,N/A,
Operational Excellence Foundations,"<p>Understand and apply operational excellence to improve your organization's processes, products, and services for sustained competitive advantage. Dr. Richard Chua, consultant, professor and certified Lean Six Sigma Master Black Belt trainer, explains the fundamentals of operational excellence-from key concepts and tools to methodologies and implementation best practices. He explains lean principles and shows how to eliminate variation, operationalize the voice of the customer (VOC), error proof, and build in quality at the source. He covers methodologies such as Lean Six Sigma (DMAIC), Kaizen, Design for Six Sigma (DMADV), and value stream management (VSM), and shows how to choose the right one for your application. He concludes by sharing implementation best practices to drive the right mindset, behaviors, and results for sustaining operational excellence. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/operations-management-professional-certificate-by-jack-welch-management-institute"" target=""_blank"">Professional Certificate</a> from Jack Welch Management Institute.</p>",Course,2018-08-25 13:01 UTC,N/A,false,N/A,
The Art of Rotoscoping,"Turn your video footage into a work of art. Learn the basics of rotoscoping to build creative effects and to isolate video elements for compositing or VFX. In this course, instructor and mograph artist Eran Stern starts by diving the history and origin of rotoscoping in film and video, providing the background for subsequent practical techniques. He shows how to transform video into natural art—from pencil sketches to Van Gogh paintings, claymation to chalkboard drawings, watercolors to graffiti, and ink blots, Legos, comic books, pastels, and much more. You can also find out how to use the same foundational techniques to isolate elements for compositing and visual effects work, and create simple character animations. Plus, explore the different software for rotoscoping, from Photoshop and After Effects to professional applications such as Mocha AE.",Course,2021-10-15 12:58 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,Course,2020-11-05 02:01 UTC,N/A,false,N/A,
Six Sigma: Green Belt,"Six Sigma is a customer-focused, data-driven methodology that is widely used to analyze and improve the performance of processes, products, and services. In this course, get the training you need to become a Six Sigma Green Belt. Green Belts participate in—or lead—Six Sigma projects on a part-time basis under the guidance of a Black Belt. Operational excellence expert, master Black Belt trainer, and professor Dr. Richard Chua explains how to use Six Sigma and its process, quality, and statistical tools as he prepares you to become a Six Sigma Green Belt.<br><br>   

Note: Dr. Richard Chua builds upon his <i>Six Sigma Foundations</i> and <i>Learning Minitab</i> courses, and covers an array of topics, including measurement system analysis, descriptive statistics, hypothesis testing, design of experiments, statistical process control, and more.",Course,2022-07-24 22:03 UTC,N/A,false,N/A,
Learning Pix4D Drone Mapping,"Pix4D is a leader in small unmanned aerial system (sUAS or ""drone"") photogrammetry, building software that enables users to analyze complex image data and create orthomosaics and 3D models, all from photographs. With a drone, a camera, and the powerful processing engine in Pix4D, the science of photogrammetry is accessible to just about anyone. In this course, you can learn the basics of using Pix4D. Instructor Paul Tice explains how Pix4D pairs with different drones and cameras, and then shows how to program simple 2D missions for your drone with Pix4Dcapture. He then shows how to prepare for flight and retrieve the data and imagery once your drone has landed. In the last few chapters, Paul dives into Pix4D Desktop, where he shows how to process your data and produce outputs such as point clouds, 3D maps, and models. Plus, learn how to deal with large projects and turn the power of Pix4D onto architecture, engineering, and construction (AEC) data, such as 3D building scans.",Course,2021-08-31 02:33 UTC,N/A,false,N/A,
Deke's Techniques (2018-2021),"<p>For ten years, graphics guru Deke McClelland hosted <i>Deke’s Techniques</i>, a weekly series focused on Adobe Photoshop and Illustrator. Each installment covered a unique project or creative effect that could be completed in ten minutes or less, all presented in Deke’s signature step-by-step style. The intent was to reveal how various Photoshop and Illustrator features can be combined and leveraged in real-world examples so that they can be applied to creative projects right away.</p>
<p>For convenient browsing, we’ve divided the 1000 installments of <i>Deke’s Techniques</i> into three courses. The older installments don’t show the latest features in Photoshop or Illustrator, but they’re still packed with design and illustration advice and inspiration that experienced users can apply to the newest versions.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/deke-s-techniques-2011-2013"" target=""_blank""><i>Deke’s Techniques: 2011–2013</i></a></li>
<li><a href=""https://www.linkedin.com/learning/deke-s-techniques-2014-2017"" target=""_blank""><i>Deke’s Techniques: 2014–2017</i></a></li>
</ul>
 
<p>To catch up with Deke’s latest endeavors, check out his website at <a href=""https://www.deke.com/"" target=""_blank"">https://www.deke.com/</a>.</p>",Course,2016-05-31 09:23 UTC,2016-05-31 09:23 UTC,false,N/A,
Learning Excel 2010,"Excel is the industry-standard spreadsheet program, and almost all of us find ourselves using it at one point or another. In this workshop veteran author Chris Grover teaches you the fundamental skills you need to work with Excel, starting with basics like entering and formatting numbers and text, then moving on to writing formulas and using Excel's built-in functions. Learn about sorting, filtering, and lookup, as well as charts, graphs and sparklines, and even advanced tools like pivot tables. Along the way, Chris covers the new features in Excel 2010 and techniques for troubleshooting your spreadsheet when something goes wrong.",Course,2017-05-15 02:35 UTC,N/A,false,N/A,
Excel: Creating a Basic Dashboard,"In this course, instructor Curt Frye shows you how to summarize spreadsheet data effectively to support decision-making throughout your organization. Curt explains how to set up a supporting workbook, including how to manage and filter data, streamline charts for dashboards, and create sparklines. He also goes over the process of creating a dashboard worksheet. Curt covers creating and managing cell links, using PivotTable data in a formula, extending your dashboard with hidden rows, and more.",Course,2022-04-30 11:40 UTC,N/A,false,N/A,
Outlook 2010: Time Management with Calendar and Tasks,"Rediscover the robust task management features in Microsoft Outlook 2010. Author Gini Courter explains the difference between Outlook tasks and To-Do Lists, and shows how to use Outlook 2010 to handle both business and personal schedules, from making appointments, to creating and completing tasks, to color-coding calendars and tasks for at-a-glance review.",Course,2017-03-08 07:43 UTC,N/A,false,N/A,
Bluebeam: Draw Layouts & Detail,"In the AEC industry, there are many of us who do not have full-blown CAD skills. Superintendents, project managers, estimators, and sales staff may all need to create drawings, but rarely own a copy of a program like AutoCAD. More often than not, we end up sketching proposed layouts and details by hand. Not only is this tedious work, but the end product is not easily edited, it's hard to store and distribute, and it doesn't look quite as professional as a digital drawing.<br><br> 

Using features contained in Bluebeam Revu, including templates, Sketch Tools, scale calibration, and length and area measurements, we can generate more accurate and professional drawings. In this course, Jim Rogers shows how to generate electronic layouts that can be distributed as PDFs, printed, or sent to a Bluebeam Studio Project folder. The techniques rely on the Sketch Tools markup feature, which allows us to ""sketch to scale"" and record length and area values as we draw. Jim also shows how to save and share our drawings with clients and colleagues, and extract quantities to generate cost estimates.",Course,2019-05-07 13:53 UTC,N/A,false,N/A,
InDesign Tips for Design Geeks,"<p>Anne-Marie “Her Geekness” Concepcion, co-founder of InDesign Secrets and Adobe-certified Creative Cloud Design and Layout instructor, hosts this weekly series exploring new ways to use InDesign and related software for creative work. Anne-Marie presents answers, how-tos, and cool discoveries for amateurs, pros, and everyone in between. She pulls in tips related to other software that designers use frequently, such as Acrobat, Photoshop, Google Docs, InCopy, and more, with a focus on how techniques in these programs can make your work in InDesign faster, easier, and more fun.</p>

<p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2021-03-19 03:44 UTC,N/A,false,N/A,
Excel: Sales Forecasting,"Creating accurate and reliable sales forecasts is essential for any sales leader. Professor Michael McDonald shows how to use Excel to forecast sales more effectively, beginning with a quick primer on sales forecasting, then explaining the business intelligence used in forecasting and the basics of regression analysis. Next, Michael shows how to use Excel to gather the necessary data for your forecast, how to cleanse data so that it will lead to more accurate forecasts, and how to interpret and explain the results of a regression forecast. The course concludes with a sample project, forecasting sales for a fictional restaurant. In this sample project, you’ll construct a data set, compute a simple set of forecast metrics, and construct an in-depth sales forecast. Finally, Michael explains the limitations of sales forecasting and how you can mitigate risk.",Course,2021-07-13 20:51 UTC,N/A,false,N/A,
